metric,date_ym,value
NO2,2018-07-01,-0.2945252047787097
NO2,2018-08-01,-0.672279350784871
NO2,2018-09-01,-0.5526704870441719
NO2,2018-10-01,0.48893128790931994
NO2,2018-11-01,0.5703324098441784
NO2,2018-12-01,0.7351391602694739
NO2,2019-01-01,1
NO2,2019-02-01,0.2792598827985884
NO2,2019-03-01,-0.5003228085678537
NO2,2019-04-01,-0.19804448473467806
NO2,2019-05-01,-0.30606959007256884
NO2,2019-06-01,-0.2579592785085675
NO2,2019-07-01,-0.42771230614821765
NO2,2019-08-01,-0.6391771022726306
NO2,2019-09-01,-0.3969816242617099
NO2,2019-10-01,-0.32141439167900676
NO2,2019-11-01,0.008272088580956405
NO2,2019-12-01,0.84640787386279
NO2,2020-01-01,0.16647318104241737
NO2,2020-02-01,-0.2443717127240942
NO2,2020-03-01,-0.4873689136647663
NO2,2020-04-01,-1
NO2,2020-05-01,-0.7603522517564023
air,2018-07-01,0.02474925191105859
air,2018-08-01,-0.8988098534798923
air,2018-09-01,-0.03691196518177342
air,2018-10-01,-1
air,2018-11-01,-0.07268634402891061
air,2018-12-01,-0.21076809836773147
air,2019-01-01,-0.37951173227067514
air,2019-02-01,-0.38219697330920377
air,2019-03-01,-0.0020972299174926157
air,2019-04-01,-0.25135555369055695
air,2019-05-01,-0.09125999572668086
air,2019-06-01,0.00938948126353667
air,2019-07-01,0.10322884742485217
air,2019-08-01,-0.017244441223949858
air,2019-09-01,-0.001560864514308924
air,2019-10-01,-0.11842459235072922
air,2019-11-01,-0.22329377904019376
air,2019-12-01,-0.4155710652165784
air,2020-01-01,-0.19381054646541884
air,2020-02-01,-0.021578323752234563
air,2020-03-01,0.03773082922145332
air,2020-04-01,-0.07977427157848438
air,2020-05-01,0.054179737276340845
energy,2018-07-01,0.03935352056502217
energy,2018-08-01,0.6249510464899688
energy,2018-09-01,0.5380391254111201
energy,2018-10-01,0.5351780139116307
energy,2018-11-01,0.8950084437693377
energy,2018-12-01,0.530557244620514
energy,2019-01-01,0.7136366636908751
energy,2019-02-01,1
energy,2019-03-01,0.3507089422264478
energy,2019-04-01,0.3362598059238695
energy,2019-05-01,0.5272543928957909
energy,2019-06-01,0.6412765453783746
energy,2019-07-01,0.5282480697937599
energy,2019-08-01,0.5312442170935376
energy,2019-09-01,0.7621643162063927
energy,2019-10-01,0.41522521413913993
energy,2019-11-01,0.5830471979907628
energy,2019-12-01,0.44314391544039045
energy,2020-01-01,0.5669077883006888
energy,2020-02-01,0.39952661408809864
energy,2020-03-01,0.4557263209155309
energy,2020-04-01,0.4012131020934999
energy,2020-05-01,0.48936360631098474
